,Cusip,State,Description,Coupon,Maturity Date,Price Ask,Next Call Date,Bond Type,Total Ask Available,Minimum Ask Quantity,Credit Score,Taxable Return
15589,64966HYW4,NY,NEW YORK N Y GO BDS SER.2010H-1         05.64600% 06/01/2027,5.646,2027-06-01,101.243,,MUNICIPAL,15,15,3.0,4.65
14390,4521523S8,IL,ILLINOIS ST GO BDS  SER. 2019 A         05.00000% 04/01/2027,5.0,2027-04-01,100.59,,MUNICIPAL,10,5,7.0,4.32
11978,837151WJ4,SC,SOUTH CAROLINA ST   PUB SVCS AUTH REV   04.22200% 12/01/2026TAXABLE OBLIGS      SANTEE COOPER SER.,4.222,2026-12-01,99.46,,MUNICIPAL,10,5,7.0,4.24
15929,576000KW2,MA,MASSACHUSETTS ST SCHBLDG AUTH DEDICATED 05.46800% 06/15/2027SALES TAX REV SALES TAX BDS SER. 2010A,5.468,2027-06-15,101.614,,MUNICIPAL,25,25,3.0,4.22
8279,574218X24,MD,MARYLAND ST HEALTH &HIGHER EDL FACS AUTH03.86800% 07/01/2026REV TAXABLE REV BDS UNIVERSITY OF,3.868,2026-07-01,99.095,,MUNICIPAL,15,5,6.0,4.17
11591,37850RBJ1,CO,GLENDALE COLO EXCISETAX REV REF BDS SER.03.81000% 12/01/20262015,3.81,2026-12-01,99.0,2025-12-01,MUNICIPAL,15,5,3.0,4.09
10973,544587L48,CA,LOS ANGELES CALIF   MUN IMPT CORP LEASE 03.31700% 11/01/2026REV TAXABLE BDS SER.2018 C,3.317,2026-11-01,98.173,,MUNICIPAL,10,5,5.0,4.09
11806,649907XZ0,NY,NEW YORK ST DORM    AUTH REVS NON ST    04.19200% 12/01/2026SUPPORTED DEBT      EMPLOYER ASSMT REV,4.192,2026-12-01,99.704,,MUNICIPAL,150,5,2.0,4.08
10867,13063BKD3,CA,CALIFORNIA ST GO BDS06.87500% 11/01/2026,6.875,2026-11-01,103.175,,MUNICIPAL,75,50,3.0,4.04
9776,194301JL2,GA,COLLEGE PARK GA     BUSINESS & INDL DEV 04.00000% 09/01/2026AUTH REV TAXABLE REFREV BDS CITY OF,4.0,2026-09-01,99.427,2025-07-07,MUNICIPAL,20,5,4.0,4.04
14761,297749JS3,AL,ETOWAH CNTY ALA     TAXABLE GO WTS SER. 03.60000% 05/01/20272018 B,3.6,2027-05-01,98.406,2025-07-07,MUNICIPAL,50,20,3.0,4.04
15915,452227FS5,IL,ILLINOIS ST SALES   TAX REV TAXABLE     03.58100% 06/15/2027BUILD BDS SER. MAY  2012,3.581,2027-06-15,98.24,,MUNICIPAL,5,5,6.0,4.01
8637,64972H6P2,NY,NEW YORK N Y CITY   TRANSITIONAL FIN    03.60000% 07/15/2026AUTH BLDG AID REV   TAXABLE BDS SER.,3.6,2026-07-15,98.957,,MUNICIPAL,5,5,3.0,4.01
10806,73358WUF9,NY,PORT AUTH N Y &N J  CONSOLIDATED BDS    03.62100% 10/15/2026SER.187,3.621,2026-10-15,98.869,2025-07-07,MUNICIPAL,40,5,4.0,4.01
14979,79766DLK3,CA,SAN FRANCISCO CALIF CITY & CNTY ARPTS   03.80000% 05/01/2027COMMN INTL ARPT REV TAXABLE BDS SER.,3.8,2027-05-01,98.95,,MUNICIPAL,35,5,5.0,4.0
11214,249182GS9,CO,DENVER COLO CITY &CNTY ARPT R EV REV 03.59200% 11/15/2026BDS SER.C,3.592,2026-11-15,98.818,,MUNICIPAL,5,5,4.0,3.98
10099,982685JH3,KS,WYANDOTTE CNTY KANS UNI SCH DIST NO 203 03.55000% 09/01/2026PIPER TAXABLE GO REFBDS SER. 2018B,3.55,2026-09-01,98.849,,MUNICIPAL,15,5,5.0,3.98
12407,59338CAR3,FL,MIAMI FLA LTD AD    VALOREM TAX BDS     05.15300% 01/01/2027FOREVER             INFRASTRUCTURE SER.,5.153,2027-01-01,101.121,,MUNICIPAL,10,5,3.0,3.98
14212,6500354X3,NY,NEW YORK ST URBAN   DEV CORP REV ST PERS03.27000% 03/15/2027INCOME TAX REV BDS  SER. 2017 B,3.27,2027-03-15,97.879,,MUNICIPAL,10,5,2.0,3.98
10875,13077DFH0,CA,CALIFORNIA ST UNIV  REV TAXABLE SYS WIDE03.50300% 11/01/2026BDS SER. 2018 B,3.503,2026-11-01,98.703,,MUNICIPAL,5,5,4.0,3.97
15591,651469TB4,CT,NEWINGTON CONN      TAXABLE GO BDS SER. 05.00000% 06/01/20272025B,5.0,2027-06-01,101.389,,MUNICIPAL,200,25,2.0,3.96
11038,656457NK0,PA,NORRISTOWN PA       TAXABLE GO BDS SER. 03.40900% 11/01/20262017 AAA,3.409,2026-11-01,98.557,,MUNICIPAL,30,30,5.0,3.96
12149,249218AZ1,CO,DENVER COLO PUB SCHSCTFS PARTN REF COPS 03.44800% 12/15/2026SER. 2013B,3.448,2026-12-15,98.44,,MUNICIPAL,5,5,3.0,3.96
15611,664214MU4,IA,NORTHEAST IOWA CMNTYCOLLEGE INDL NEW    03.55000% 06/01/2027JOBS TRAINING CTFS  TAXABLE CTFS SER.,3.55,2027-06-01,98.461,2025-07-07,MUNICIPAL,10,5,2.0,3.95
8518,917437MD4,UT,UTAH HSG CORP SINGLEFAMILY MTG REV      04.89600% 07/01/2026TAXABLE BDS SER.    2024H,4.896,2026-07-01,100.505,,MUNICIPAL,50,50,3.0,3.95
10181,040627DT5,AZ,ARIZONA ST PWR AUTH PWR RES REV REV BDS 03.97900% 10/01/2026HOOVER PREPAYMENT   PROJ SER. 2014,3.979,2026-10-01,99.564,,MUNICIPAL,30,5,3.0,3.94
9451,269696NV8,TX,EAGLE MTN & SAGINAW TEX INDPT SCH DIST  05.00000% 08/15/2026TAXABLE UNLTD TAX   REF BDS SER. 2020C,5.0,2026-08-15,100.727,,MUNICIPAL,75,75,1.0,3.94
15203,010831DU6,CA,ALAMEDA CNTY CALIF  JT PWRS AUTH LEASE  03.49500% 06/01/2027REV BDS SER. 2018,3.495,2027-06-01,98.4,,MUNICIPAL,150,50,2.0,3.92
15887,20772KQK8,CT,CONNECTICUT ST      TAXABLE GO BDS SER. 03.63100% 06/15/20272022A,3.631,2027-06-15,98.587,,MUNICIPAL,5,5,4.0,3.92
14977,797502AA9,CA,SAN DIEGUITO CALIF  PUB FACS AUTH LEASE 06.45900% 05/01/2027REV LEASE REV BDS   SER. 2010A,6.459,2027-05-01,103.882,,MUNICIPAL,25,25,4.0,3.9
